title,artist,id,source,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
I'Ve Got My Love To Keep Me Warm,Ella Fitzgerald,3v4eMbWva038lKKBeJyQ0D,N,0.614,0.309,0.0274,0.314,0.513,0.797,0.65,82.054,3
Candy Paint,Post Malone,6ZtwdeVjftdLrrIHyUZELk,N,0.884,0.614,0.0955,0.336,0.55,0.124,0.682,117.027,1
Sicko Mode  Skrillex Remix,Travis Scott,0QQwlREWKKxRUPPbpaKZJS,N,0.422,0.827,0.197,0.000859,0.00231,0.179,0.408,175.071,0
Freak N You,Dj Khaled,4iv2W97CTO48UlM22dZeC8,N,0.793,0.455,0.367,0.0506,0.0,0.115,0.145,125.921,4
Forever,Labrinth,6N22FZs2ZhPBYi3b9XPajV,N,0.316,0.63,0.117,0.471,0.262,0.205,0.313,89.643,5
This Is Why,Paramore,2avfqcTmcj4kIbHam8NIYO,N,0.722,0.765,0.0391,0.00398,0.00361,0.0962,0.673,123.03,1
Wish,Diplo,56WS6Ixf2U211SB12Agw7r,N,0.763,0.431,0.0308,0.0225,0.857,0.13,0.237,94.004,6
I Am Who They Say I Am,Youngboy Never Broke Again,6xL9MJ2yt39HPPZPyGkRy8,N,0.768,0.79,0.191,0.0754,1.79e-06,0.13,0.398,84.95,1
Glory,Lil Wayne,6kFtBzH9q4bHrODS3GIH3T,N,0.571,0.853,0.0427,0.000254,0.0,0.101,0.39,120.084,0
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,5YKS47BaYuN6sCBoKkLCgN,N,0.758,0.72,0.0713,0.000144,0.894,0.061,0.666,125.988,6
White Tee,Summer Walker,5xXsZtjXXCVSgktkwtderk,N,0.791,0.366,0.0966,0.744,7.24e-06,0.106,0.335,124.878,5
I Sip,Tory Lanez,13OJpxfBihLSULgO7yKadc,N,0.414,0.987,0.427,0.409,0.0,0.822,0.445,139.764,3
Lil Wayne,Trippie Redd,4mHgYpuGHu99Mw69E83CP2,N,0.767,0.538,0.052,0.68,0.0,0.192,0.343,81.031,5
Gang Gang,Polo G,2fULrwNmq6FsePDzDjQiWV,N,0.752,0.563,0.209,0.146,0.0,0.103,0.551,145.05,4
Nightmare,Offset,0iPb0dxCtjFcmFa2ElfBJ5,N,0.934,0.694,0.175,0.117,0.0,0.239,0.464,129.028,1
Rockin' Around The Christmas Tree  Rerecorded Version,Brenda Lee,6DZ0ut4MATfUe4YMsNOPHy,N,0.682,0.641,0.0384,0.564,0.0,0.224,0.824,141.003,1
Repeat It,Lil Tecca,1iZOWHN0TQdGwaFY8IoWup,N,0.607,0.679,0.407,0.0573,0.0,0.0837,0.564,108.745,4
Freak,Ty Dolla $Ign,6oECOh5nAYmxz4EiYhjsPi,N,0.747,0.482,0.131,0.0897,0.0,0.109,0.716,105.085,1
Flesh Without Blood,Grimes,7e3UmUN1GazN2yeOn7hWbb,N,0.615,0.94,0.0454,0.000883,0.759,0.352,0.883,156.013,6
Nothing,Cooliecut,6Re2AwZUVlgBng04BZTauW,N,0.818,0.399,0.111,0.308,0.00253,0.18,0.838,73.765,1
Not Afraid Anymore,Halsey,6qdXHLXnqi1qGZJgR0GYbp,N,0.582,0.708,0.0287,0.00176,0.39,0.333,0.499,131.988,0
Overdrive,Drake,2fvViRJkr7TKALLTb5Js1c,N,0.664,0.864,0.078,0.206,0.0811,0.101,0.185,119.994,0
Salvatore,Lana Del Rey,3ywq1JwwitXZ7XXVB0l5f0,N,0.307,0.0125,0.0365,0.991,0.873,0.0905,0.505,87.195,2
Hittas,Lil Wayne,2334WaCjswLcRIRgTTPWaZ,N,0.661,0.746,0.25,0.362,0.0,0.454,0.678,83.935,3
Kod,J. Cole,4PRnYCH5hoxypKVcOBvx3a,N,0.371,0.131,0.0422,0.898,0.925,0.0847,0.0656,106.872,2
If I Die Young,The Band Perry,4F7lBgkFp0BbO5ClrKrTXU,N,0.563,0.524,0.32,0.185,0.0,0.0996,0.475,155.646,4
Shake It Up,Trippie Redd,3oIzPgwgKmZOXNFGNl0kyB,N,0.576,0.869,0.0496,0.0133,0.0,0.14,0.809,80.98,1
Potential Breakup Song,Aly & Aj,1g2GZKesMLKhrVsi8WsylM,N,0.55,0.892,0.0366,0.000372,0.00103,0.0906,0.514,158.036,0
King,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,N,0.492,0.81,0.0847,0.0416,0.00379,0.117,0.245,149.954,0
Bacon,Nick Jonas,5Eg4TsPcqNbIjd8ADMZosg,N,0.589,0.611,0.0459,0.0151,0.0,0.0757,0.121,76.006,0
Man Of The Woods,Justin Timberlake,2IlVEx6F9unZSn2IojVUka,N,0.578,0.357,0.0363,0.594,0.0,0.11,0.359,133.651,5
Over,Lucky Daye,17HiUk6OOaVzGxVVZKlW9r,N,0.649,0.549,0.0597,0.495,0.0,0.124,0.381,103.439,5
Babushka Boi,A$Ap Rocky,2gAGWaK4wvt2xrFUlR4mK8,N,0.284,0.803,0.173,0.302,0.0,0.242,0.553,67.536,0
Man'S Not Hot,Big Shaq,2T7Ye4cGD5byLzHwPuiP4W,N,0.807,0.534,0.0855,0.0615,0.0109,0.0792,0.155,138.984,0
Partition,Beyoncé,1NKQUW0mTf1Z7prztlGd9a,N,0.726,0.3,0.241,0.00808,0.781,0.0434,0.181,92.984,6
Beauty In The Benz,Tory Lanez,7oCDgWVw9OJDAVQsNiZIIw,N,0.56,0.537,0.0295,0.416,0.0,0.103,0.3,91.034,5
Off Season,Youngboy Never Broke Again,3sA7HKGzcKTVscdiTCrWpX,N,0.851,0.666,0.0694,0.139,0.0,0.105,0.0585,134.068,0
Cash In Cash Out,Pharrell Williams,50meonoHC05Ou7bFsCamrh,N,0.882,0.527,0.0748,0.000663,0.922,0.0842,0.148,119.992,6
Waves,Mhs,6aMiwieS9HL4Ctgu3I6h69,N,0.3,0.856,0.114,0.0112,0.0,0.13,0.789,159.71,0
Come Alive,Hugh Jackman,78pKjOa4gToyRxn3cVc7Sa,N,0.335,0.571,0.0345,0.00492,0.0,0.0656,0.169,101.809,0
Dollar Days,David Bowie,1VsoNmgANye8Z4qf3XhT3k,N,0.468,0.637,0.112,0.624,0.0,0.148,0.554,117.203,5
Space Oddity  2009 Remastered Version,David Bowie,4nxdNfQzvwUtpNSG4AaWPZ,N,0.333,0.365,0.0331,0.0875,2.9e-05,0.424,0.501,136.275,3
Need Me,Eminem,4NlnpZPi5Z3r1uuyRglUhO,N,0.671,0.314,0.244,0.11,0.0,0.0825,0.296,110.898,4
Kevin’S Heart,J. Cole,29svli4bTaCNwhXO1cTt01,N,0.152,0.0302,0.0503,0.995,0.908,0.0887,0.0371,67.919,2
Keep It Light,Jack Harlow,0rVb21zxRkMT8V8UkPw38F,N,0.699,0.725,0.0322,0.0697,0.154,0.185,0.962,130.837,1
7/11,Beyoncé,7fPRUjMpvp7zRGXjsNqFu5,N,0.737,0.593,0.0865,0.0251,0.0,0.148,0.577,158.898,1
Talk To Me,Drakeo The Ruler,0bFmm3vm5YbTP9gT3N60qI,N,0.678,0.186,0.0345,0.888,0.864,0.105,0.299,74.997,2
Ooh Yea,Fabolous,7K4Aq4awgYvDKEJdEvvl4j,N,0.916,0.821,0.15,0.0528,0.0,0.0635,0.592,90.04,1
Voodoo,Future,1UpblcrpgsalmzCmvakSWh,N,0.62,0.425,0.341,0.0749,0.0,0.102,0.233,132.072,4
The Next Best American Record,Lana Del Rey,6cEQ6fhpPibmUsdU8YbCLV,N,0.534,0.81,0.0367,0.000664,0.0,0.111,0.652,136.978,0
Dos Mil 16,Bad Bunny,0FvChpMwtdapJchQ9ncomB,N,0.667,0.529,0.0451,0.0782,0.0,0.228,0.666,93.95,1
Brown Boy,Nav,3b9O9VgrTgGvxygTBkYyWf,N,0.863,0.866,0.121,0.164,0.0,0.201,0.873,147.055,1
Snowman  Sped Up Version,Sia,1E7hmvzwFcW9KVIFYwXwOI,N,0.716,0.511,0.0332,0.483,0.0,0.0928,0.324,104.964,5
Mockingbird,Eminem,0TGd9kXFDRQG9FF0netmah,N,0.651,0.67,0.283,0.209,0.0,0.122,0.241,83.558,4
Vice,Miranda Lambert,6FOwNSXVIYHZYcgcojVd0I,N,0.748,0.479,0.0365,0.0371,7.15e-06,0.383,0.309,133.552,0
The Chipmunk Song (Christmas Don'T Be Late)  Remastered 1999,Alvin & The Chipmunks,43Ny7pWynD5nncoDHpbUPh,N,0.61,0.434,0.0352,0.711,1.17e-06,0.148,0.777,152.158,5
I Like It,Cardi B,4nVyHATevhl5RC6Qmoko5H,N,0.646,0.94,0.0838,0.0209,0.0,0.0691,0.704,129.011,1
Intro,J. Cole,7fi6RUUnCpDRhfmaBKRvPF,N,0.655,0.506,0.358,0.916,0.0155,0.378,0.651,83.008,4
Heaven,Khalid,1AZXNAVDD9ZFIEKySgflFz,N,0.706,0.685,0.0837,0.56,0.0,0.22,0.444,117.448,1
7Am On Bridle Path,Drake,6EdVTOk5e4RApmwHNBJew9,N,0.683,0.368,0.0744,0.00803,0.85,0.108,0.634,135.977,6
Gimmie My Respect  Intro,Lil Yachty,3Ao1tmNxeCpp2Ux7uN3oqn,N,0.958,0.386,0.294,0.209,0.0,0.768,0.717,111.268,3
Dura  Remix,Daddy Yankee,29M8cHlcrYGoHGyrcfPECP,N,0.456,0.702,0.18,0.317,0.000346,0.22,0.357,87.559,0
Bad At Love,Halsey,1ILY2EO8rprYrABecl6JVH,N,0.675,0.751,0.0296,0.0604,0.0,0.0893,0.612,118.384,1
5X,Don Toliver,527k23H0A4Q0UJN3vGs0Da,N,0.629,0.692,0.0376,0.00981,0.331,0.603,0.453,162.948,3
Faking It,Calvin Harris,6PPTfutpZ4nrqOmDqO3AIl,N,0.837,0.306,0.0549,0.0208,0.673,0.0916,0.153,120.022,6
Rule The World,2 Chainz,5Xsh6OAQNRJrjYWdaWUuEN,N,0.55,0.883,0.0937,0.00715,0.0,0.0924,0.417,150.004,0
You Know You Like It  Dj Snake Remix,Alunageorge,3EacEcPQv7hlMAK1sDWzIj,N,0.845,0.65,0.117,0.469,0.0652,0.0677,0.657,120.01,1
Intro,Roddy Ricch,3QzAOrNlsabgbMwlZt7TAY,N,0.809,0.545,0.0735,0.392,0.0,0.151,0.244,97.008,0
Stretch You Out,Summer Walker,3LfHBTYZBTqmz43tvVXJBd,N,0.646,0.335,0.247,0.626,1.3e-05,0.107,0.419,167.927,5
Remind Me,Eminem,4ABua0yuWcpTotImEEJTaw,N,0.485,0.726,0.0327,0.0603,1.75e-05,0.225,0.288,140.781,0
All Da Smoke,Future,1CEom4VKsNpBep713DWNDJ,N,0.691,0.77,0.16,0.013,0.000579,0.122,0.844,110.1,1
Broken Glass,Kygo,3AM4yXjFvBulURmkwWrm9l,N,0.589,0.356,0.0434,0.0333,0.886,0.194,0.0393,171.033,6
Gold Digger,Kanye West,1bAO5Ob5wYq5sEqf3ThFFP,N,0.632,0.696,0.348,0.0192,0.0,0.0347,0.621,92.942,4
Crack Sandwich,Jid,6h0BYc1cyG43yJFVxG16xR,N,0.74,0.938,0.147,0.219,0.000626,0.313,0.964,99.758,1
Don'T Worry Be Happy,Bobby Mcferrin,23EmReYCtIOWmBFjyaNXyf,N,0.675,0.166,0.171,0.88,7.14e-05,0.0461,0.747,68.837,5
Pool,Still Woozy,3vWAF1k5crNOR67wDdupxc,N,0.664,0.777,0.0769,0.128,0.0519,0.185,0.489,93.011,1
Hold Back The River,James Bay,63lNvqjdrYxusz43JnORbE,N,0.715,0.715,0.0902,0.0526,0.0,0.0936,0.507,134.922,1
Quit,Cashmere Cat,47MNGiSMKGEEnI7DAP3BwJ,N,0.871,0.374,0.0951,0.881,0.912,0.114,0.557,134.962,2
The Life,Fifth Harmony,41Fflg7qHiVOD6dEPvsCzO,N,0.884,0.765,0.0882,0.063,7.04e-06,0.118,0.594,99.987,1
La Romana,Bad Bunny,3v9fn658Dw5AZ0s9UapZCl,N,0.367,0.126,0.0582,0.987,0.972,0.113,0.32,132.015,2
Collard Greens,Schoolboy Q,6obVbmafc7Q2WYUQriEVxw,N,0.825,0.575,0.0633,0.025,9.94e-06,0.205,0.65,153.954,1
2021,Vampire Weekend,7gtgB31vhnfSRpRCvAwGpa,N,0.36,0.809,0.0353,0.523,0.708,0.0889,0.395,152.016,6
What If I Told You That I Love You,Ali Gatie,39dFhrbHLJXZDEWteFLrLs,N,0.496,0.291,0.0889,0.532,0.316,0.0891,0.247,169.896,5
Hard Times,Paramore,7Gh3NGo5uzMSASswujMtsA,N,0.701,0.793,0.0383,0.00142,0.143,0.0652,0.886,120.002,1
I Was Never There,The Weeknd,0BchoPYO5oE6uxpBKCvIaF,N,0.331,0.502,0.0546,0.123,0.000933,0.478,0.153,128.282,3
Adeste Fideles,Bing Crosby,2HrRDfPZH1f277crhAwgRp,N,0.255,0.137,0.0313,0.959,0.0,0.13,0.265,86.202,5
No Friends,Lil Baby,0c2cLhOLG2URFecYm4Z0UJ,N,0.851,0.663,0.235,0.015,0.0,0.131,0.526,130.02,4
Latch,Disclosure,3pgC6hv9bbZSAzEOl6K5nG,N,0.75,0.711,0.0906,0.00855,0.000364,0.0707,0.553,122.01,1
Take Your Time,Sam Hunt,7EvHpaw8rCjbSpUp4qfu3F,N,0.712,0.64,0.0354,0.0389,1.01e-05,0.108,0.707,133.066,1
Should'Ve Been Me,Mitski,16MVSD0mGI4RMQT83Qzm69,N,0.476,0.777,0.0289,0.0103,0.0,0.196,0.472,167.964,0
Wishful Drinking,Ingrid Andress,2YmuIuyy24xFGBWZ0cyFxx,N,0.678,0.528,0.0551,0.289,0.0,0.0734,0.614,79.018,1
Stranger Things,Kygo,5lfYsqRIxf9NR1nAU4VF2m,N,0.67,0.452,0.0249,0.00857,0.154,0.0932,0.132,107.014,0
Tsunami,Young Thug,7DTlsMOQjGysXHpwwpHuPl,N,0.546,0.667,0.274,0.0152,0.0,0.0895,0.471,87.666,4
Holy Ghost,A$Ap Rocky,5ho74ZlMvEbyhFutCd8SGg,N,0.591,0.874,0.0562,0.00153,1.45e-05,0.0602,0.775,89.998,1
"The Man, The Myth, The Legend  Interlude",Juice Wrld,3vPFtJIPNknOiMK7IcBtzn,N,0.237,0.436,0.0315,0.25,0.932,0.142,0.05,152.238,6
Zeus,Eminem,1QQ1Dx8dcLgWvUaY5fk84y,N,0.682,0.836,0.354,0.141,0.0383,0.0891,0.224,82.53,4
This Life,Vampire Weekend,3AydAydLzyyZutA0375XIz,N,0.551,0.819,0.0525,0.0103,0.0437,0.153,0.846,174.917,1
Hold On,Moguai,1wp3zA3ROLy8dJ0IB9zxFX,N,0.679,0.782,0.0559,0.052,3.06e-05,0.263,0.731,124.974,1
Taking A Walk,Trippie Redd,1W24W6jQegnNh0x5DfBBPT,N,0.676,0.503,0.0971,0.137,6.36e-05,0.0981,0.196,162.85,0
Mac 10,Trippie Redd,2VD2fiCSuld76hzB4QpFxz,N,0.795,0.609,0.165,0.165,0.0,0.374,0.812,124.097,1
Swish,Tyga,59oP06RoBps6bvbvSQ1Zee,N,0.905,0.575,0.0881,0.067,2.22e-05,0.0602,0.365,115.031,1
Cool Kids,Echosmith,3PCv7rks6KmMb1128iEPyz,N,0.719,0.67,0.0337,0.0372,8.41e-06,0.12,0.785,130.026,1
Christmas Dream,Andreas Weise,6LvzN61BJOfOyzpxSWQkZF,N,0.7,0.281,0.0328,0.912,0.915,0.115,0.24,127.005,2
There He Go,Kodak Black,1X7Zz8cCMzIirgwBu5HS0j,N,0.62,0.586,0.342,0.301,0.0,0.117,0.496,144.361,4
Run For Cover,The Killers,0AxJvnKQjrtO4KCtyGuZwI,N,0.464,0.952,0.125,0.00161,0.00239,0.352,0.486,165.117,0
I Don'T Do Drugs,Doja Cat,2HzPCR7K0RR8nutu3l3QtN,N,0.683,0.615,0.0966,0.222,8.25e-06,0.154,0.45,77.014,1
Telephone Calls,A$Ap Mob,4pdgV8qr9Oytcv6thCdiIZ,N,0.848,0.663,0.245,0.523,0.0,0.108,0.333,133.993,4
Daddy,Tiny Meat Gang,1KfSe4Rxeyu222Xdr4FRqT,N,0.618,0.558,0.51,0.675,0.0,0.827,0.516,124.109,3
All We Got,Chance The Rapper,0nOFMnG5wCIgTyA8RaY4iJ,N,0.527,0.526,0.186,0.0488,0.0633,0.0983,0.245,85.024,0
Hypnotized,Akon,4yzRUWJ5cgEcnMWHE3sXDB,N,0.849,0.664,0.0712,0.00871,0.667,0.12,0.423,118.007,6
Damage,H.E.R.,0Aa3g9EQoPNt6PiKjaUeb7,N,0.416,0.298,0.0442,0.635,2.16e-06,0.136,0.191,95.386,5
Favorite Record,Fall Out Boy,6xQ5K0Oz5ftDN5zgVweqj3,N,0.593,0.492,0.0895,0.539,0.0,0.344,0.368,127.114,5
Betty (Get Money),Yung Gravy,2zNxvN4s0IgMC1M3g69Zdb,N,0.733,0.77,0.073,0.00393,3.52e-06,0.366,0.586,102.013,1
One Time,Nav,6eDApnV9Jdb1nYahOlbbUh,N,0.691,0.853,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,1
Shape Of You,Ed Sheeran,65vavm809eQdyiJQbzZ4V8,N,0.448,0.545,0.238,0.734,0.0,0.155,0.842,192.162,4
Want Her,Mustard,1CUAF34ktaB7s4DMJhO0qB,N,0.572,0.427,0.05,0.728,0.0201,0.232,0.215,80.512,5
Pipe It Up,Migos,0M9ydKzuF3oZTfYYPfaGX1,N,0.926,0.666,0.244,0.0611,0.0,0.123,0.168,127.079,4
Muchacho,Kings Of Leon,0umDVf77ygI5RiVp9OvNDj,N,0.365,0.606,0.0415,0.00757,0.052,0.103,0.191,114.995,0
Riot,Childish Gambino,7Dj5qxfo9DmBCPMUYZFLxE,N,0.863,0.615,0.0392,0.242,0.00749,0.113,0.315,110.054,1
El Perdón,Nicky Jam,3YczvBQ4ft1VQnClYCSNyM,N,0.62,0.844,0.0562,0.236,0.0,0.304,0.527,94.782,1
2011,5 Seconds Of Summer,26wLOs3ZuHJa2Ihhx6QIE6,N,0.756,0.448,0.0404,0.0508,3.87e-06,0.11,0.431,139.031,0
Dust My Shoulders Off,Jane Zhang,5QDtvGMd79rWnZNCiXbjkL,N,0.712,0.488,0.0331,0.45,0.0,0.0823,0.403,75.963,5
All Caps,Madvillain,3QhSPQWfhNiqGrbn3tTdz1,N,0.351,0.888,0.355,0.236,9.48e-06,0.175,0.685,82.266,4
Scoop,Lil Nas X,1aJXxOub5LFAITe1tft7tR,N,0.579,0.58,0.0494,0.298,0.933,0.289,0.67,164.477,6
No Stylist,French Montana,3xoaBkj5cDql0IigTvfCVO,N,0.461,0.599,0.0513,0.499,0.899,0.159,0.257,146.98,6
Cold Summers,Earl Sweatshirt,20uoTywLPjXsQdyHtp3I4j,N,0.589,0.966,0.365,0.594,0.0,0.784,0.84,180.083,3
Just You And I,Tom Walker,2n48BjaFSczfeIG3HaIaPv,N,0.567,0.696,0.301,0.456,0.0,0.113,0.544,92.061,4
2040,Lil Baby,7ge7BHazYbVKi8qyZUX1Bm,N,0.585,0.641,0.133,0.0286,0.0,0.316,0.266,88.284,0
Type Shit,Migos,6Y5y2t83nkgNZkhNwyMsoN,N,0.63,0.278,0.0582,0.00024,0.875,0.0934,0.353,76.002,6
Solo,Eslabon Armado,0hnvQLkV7yOjslEzflJSK4,N,0.626,0.454,0.0392,0.729,0.000442,0.159,0.36,123.351,5
On Me (Remix),Lil Baby,3ojsTiIpdjsAeqq1iecAtC,N,0.705,0.568,0.192,0.00874,0.0,0.0863,0.619,95.114,1
"Honey, I'M Good.",Andy Grammer,2SEjYEkwF7Wvqu71BnQd9U,N,0.752,0.775,0.0546,0.0324,0.0,0.351,0.595,122.014,1
Lunchbox Friends,Melanie Martinez,53tM3mKObSqNPfERb7vUFo,N,0.698,0.593,0.0973,0.368,0.0,0.0947,0.411,93.008,1
One Watch,Gunna,0y7Ao3CVJsyKFmqdjutiIF,N,0.89,0.455,0.255,0.0217,0.0058,0.11,0.313,148.009,4
Deadz,Migos,0TBgMKD86t1VP3IzhxCoUl,N,0.92,0.675,0.263,0.307,0.0,0.104,0.749,141.967,4
Blue Collar Boys,Luke Combs,35rnR1gNLlnTB8pDHEHewB,N,0.557,0.811,0.107,0.15,3.67e-06,0.0846,0.928,170.866,1
Last Name,Future,44xWtabQzBHKXxD0UVLSNQ,N,0.395,0.869,0.109,0.194,0.0,0.0874,0.688,159.833,0
Drug Dealer,Machine Gun Kelly,1XXwItGFhOuvQmopWby2dP,N,0.927,0.316,0.0667,0.505,0.682,0.105,0.799,114.503,6
Te Mudaste,Bad Bunny,5mRKapu8Ud4wwPlwNPdIib,N,0.764,0.802,0.149,0.0542,4.3e-05,0.176,0.68,95.007,1
Bad For You,Meek Mill,0mHk41X0RRc6pqrcq1gQAr,N,0.679,0.584,0.0472,0.336,0.0,0.161,0.309,88.029,0
I Might Need Security,Chance The Rapper,1wTTY1vk5izZps8dbSR9ER,N,0.45,0.735,0.394,0.593,0.0,0.935,0.643,80.272,3
Pressurelicious,Megan Thee Stallion,0qvlNV42mBsDjXN4c6XQyp,N,0.843,0.709,0.251,0.0103,0.0,0.106,0.655,146.951,4
Chiraq,Nicki Minaj,0noJPiJ7nLUrh0oPWhZK2f,N,0.846,0.615,0.12,0.557,0.0,0.174,0.682,134.861,1
Chrome Heart Tags,Lil Uzi Vert,3R8xqnR1sAd9Y7z6sImQrq,N,0.588,0.516,0.188,0.202,2.94e-06,0.111,0.377,75.88,0
Tu Veneno,Maryli Morett,591Jlv0BcckG5YwEH4yAY2,N,0.662,0.658,0.0749,0.0695,0.000269,0.0859,0.835,175.804,1
Conversations With My Wife,Jon Bellion,48LwbDH7u5UMrsY3sjfjhe,N,0.748,0.622,0.225,0.252,0.0,0.112,0.667,91.77,1
The Fool,Ryn Weaver,1rVZ7EqoVJfrciRW80Uljh,N,0.517,0.279,0.025,0.498,0.0,0.126,0.287,80.098,5
Girl Loves Me,David Bowie,0iZIHXYNdIRoV4UyUllUVS,N,0.503,0.309,0.0627,0.0387,0.967,0.0726,0.0389,123.012,6
Machine,Imagine Dragons,0TyUOnU4H4GLqOcrH0auc8,N,0.927,0.642,0.0657,0.00791,3.62e-05,0.279,0.901,123.969,1
Take You Dancing,Jason Derulo,6BBD4ORMmIXeOND3kFQ1IB,N,0.776,0.861,0.1,0.0497,3.22e-05,0.0535,0.914,122.027,1
Waiting On A Miracle,Stephanie Beatriz,5EA5oAvzr0r1ANC6L2krUj,N,0.57,0.378,0.0322,0.129,0.675,0.117,0.102,94.853,6
Just For The Night,The Low Down,3v8xxkdJdzYY81iQBAYrzN,N,0.654,0.83,0.0466,0.0917,8.07e-05,0.0858,0.578,116.461,1
182  Darkside,Blink,4LJhJ6DQS7NwE7UKtvcM52,N,0.391,0.951,0.0692,0.0126,0.000378,0.0878,0.468,157.66,0
Heavy,Linkin Park,1DXkvUT5CjmVqqMuW1NjwI,N,0.461,0.862,0.0965,0.0582,0.0,0.953,0.306,150.028,3
Riri,Young Thug,25oOaleife6E2MIKmFkPvg,N,0.842,0.597,0.0627,0.00252,0.0,0.124,0.298,145.992,0
Fun Girl,Summer Walker,7uvl3QH0bkki9ndpdEEBNr,N,0.531,0.912,0.586,0.375,2.65e-06,0.17,0.531,180.038,4
Gospel,Dr. Dre,7jIujRjK5JKNrMCcAvYUTN,N,0.672,0.777,0.0956,0.0379,0.00141,0.159,0.238,90.575,0
Different Now,Fetty Wap,1WoOzgvz6CgH4pX6a1RKGp,N,0.748,0.741,0.0531,0.00419,0.0,0.147,0.537,128.077,1
Caught In The Fire,Bazzi,2jxDEUiJLoRBpngpbmplhJ,N,0.431,0.522,0.0451,0.82,0.0,0.422,0.702,155.672,5
All Things Go,Nicki Minaj,1lW62Z2BOtL2xl3PR68AEk,N,0.751,0.463,0.281,0.0718,1.6e-05,0.105,0.276,124.009,4
Rooting For You,Alessia Cara,2Xtowy8aqOFpnmoo90x4Iy,N,0.846,0.133,0.233,0.537,0.879,0.136,0.422,154.036,2
Floyd Mayweather,Young Thug,0dk2ze8XgUz62FMHOWAoCy,N,0.776,0.485,0.341,0.0607,0.0,0.118,0.564,75.984,4
Test Drive,Ariana Grande,48DpzHpM8JuJsiRB2VBCeH,N,0.752,0.562,0.0305,0.0286,0.85,0.166,0.214,114.987,6
Off The Grid,Alina Baraz,2U4oV7MzeaB9NCAlh6pVBQ,N,0.687,0.524,0.0428,0.282,0.0199,0.167,0.338,166.955,0
Faint,Linkin Park,6wU578qNnCLbyla0t2REJp,N,0.544,0.986,0.192,0.0193,0.0,0.963,0.345,135.122,3
Drippin',Rich The Kid,6excfi52hCKksRlRt55VH2,N,0.859,0.461,0.404,0.074,0.0,0.111,0.337,83.992,4
Death Bed,Powfu,61CL5LrWlAIdi0uJ9wVyTC,N,0.577,0.752,0.343,0.588,0.0,0.132,0.675,89.797,4
Welcome To New York,Ryan Adams,2J8P81JjKemQZczm1mfp3s,N,0.341,0.301,0.0313,0.75,3.08e-06,0.112,0.297,174.781,5
Manuel Miranda  Almost Like Praying,Lin,19teO2AHmKu6QyubWaU5AL,N,0.563,0.838,0.043,0.00292,0.00388,0.155,0.399,173.912,0
Emergency,Icona Pop,3VZQshi4COChhXaz7cLP02,N,0.714,0.905,0.0289,0.00855,2.55e-05,0.146,0.838,125.927,1
Lamb Talk,Quavo,4vVjPTApwXZwB2H3mBq3ml,N,0.825,0.649,0.169,0.117,0.0,0.232,0.143,127.978,0
Little Wanderer,Death Cab For Cutie,7Cva2EgJougx6O6M5xgWAq,N,0.62,0.773,0.0382,0.0741,0.000606,0.158,0.934,157.991,1
Virgo'S Groove,Beyoncé,4LZ9il2FqLkBdeituQZQMH,N,0.536,0.241,0.039,0.916,0.0,0.112,0.0848,128.993,5
One Man Can Change The World,Big Sean,2Xaa9qzB7Mldx7MhPKo7dB,N,0.557,0.488,0.0523,0.589,0.809,0.107,0.211,83.804,2
Strangers By Nature,Adele,7x8Dw98A4b0FOcPdPdax0b,N,0.774,0.546,0.108,0.0813,0.0,0.0938,0.177,137.943,0
Flicker,Niall Horan,0qvzXomUDJVaUboy2wMfiS,N,0.677,0.401,0.0308,0.712,0.0,0.116,0.195,111.825,5
My Strange Addiction,Billie Eilish,1QYf92WcIQyNP9XxVEnpZu,N,0.379,0.797,0.132,0.153,0.0,0.149,0.599,79.487,0
Normal People,Joji,0baNzeUcPQnQSagpe8T0mD,N,0.577,0.387,0.274,0.964,0.705,0.208,0.459,146.565,2
Butterflies,Kacey Musgraves,7eQHxigpuDJjCG50JyzU8v,N,0.7,0.613,0.0408,0.385,0.0,0.0887,0.42,88.084,1
The Way,Ariana Grande,2bLqfJjuC5syrsgDsZfGmn,N,0.731,0.807,0.1,0.181,0.751,0.319,0.765,114.759,6
Into The Unknown,Idina Menzel,421eObjg0DTm2qajJl5OJm,N,0.456,0.828,0.077,0.0244,0.0,0.21,0.313,116.719,0
Macleod  Complex (Demo),Katie Gregson,06TfFbD9XTbselBOZy83Sx,N,0.351,0.191,0.0326,0.868,0.0,0.0943,0.0399,159.805,5
Tryna Smoke,Jhené Aiko,3inXU94HgnR8Y9cwYaHVsz,N,0.64,0.439,0.162,0.447,5.82e-05,0.58,0.8,149.907,3
K  The Race,Tay,68Rz8Map85RVjLAggohvkI,N,0.711,0.389,0.257,0.0503,0.0,0.165,0.389,159.937,4
I Be On,Yg,6kNQPIU4w7k1h8gJLkQddv,N,0.653,0.437,0.0498,0.752,0.542,0.1,0.222,128.009,2
Versace On The Floor,Bruno Mars,1yGi29gqjufSYeNWY2wPca,N,0.424,0.0451,0.0462,0.992,0.913,0.114,0.17,83.714,2
Numb,Marshmello,1M2eYYojjNSeFbVPnh20zF,N,0.655,0.714,0.0321,0.539,0.0475,0.0627,0.618,124.019,1
