title,artist,id,source,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Bebe Dame,Fuerza Regida X Grupo Frontera,5x3RvunGAJ3Ws7r5yhFKeB,H,0.651,0.423,0.0494,0.057,0.0,0.186,0.782,143.894,1
Players,Coi Leray,10RmUrJ28kkj7XgekcfZpc,H,0.952,0.507,0.168,0.038,3.29e-05,0.0511,0.609,104.981,1
Tomorrow 2,GloRilla & Cardi B,2RkyV0KXNLstEKn2qb1KZ6,H,0.638,0.736,0.537,0.0655,0.0,0.0883,0.785,159.852,4
Love Again,The Kid LAROI,6ncsVXsY8FaxpK5yg1eMHI,H,0.643,0.417,0.186,0.809,0.0147,0.168,0.355,94.435,5
She Had Me At Heads Carolina,Cole Swindell,143NxyffZRHXdVD1MaO5u3,H,0.65,0.67,0.0308,0.774,0.0,0.0966,0.655,132.984,5
Dawns,Zach Bryan Featuring Maggie Rogers,4soHgvFd9yGVrzTe9TROWl,H,0.727,0.164,0.928,0.762,0.0,0.108,0.297,118.57,4
Whiskey On You,Nate Smith,32ftcUIP8p7zmZT5vLBfy1,H,0.604,0.537,0.0282,0.000729,0.85,0.0878,0.608,109.976,6
Super Freaky Girl,Nicki Minaj,4dFKEyGrwmIimMqwYleFOR,H,0.88,0.777,0.256,0.102,0.0,0.37,0.88,132.982,1
Nobody Gets Me,SZA,0njT9NV9xsV4hLkgZ8yOUD,H,0.613,0.665,0.089,0.233,0.00025,0.0618,0.595,143.856,1
Unstoppable,Sia,4W7uMjg5a9ZqgNZzpY6ekk,H,0.468,0.779,0.0779,0.112,0.000373,0.101,0.26,173.799,0
What My World Spins Around,Jordan Davis,0LaZ4n2gyWeO4kFtzpHQ5M,H,0.661,0.885,0.0348,0.128,0.0,0.315,0.848,103.976,1
Sunroof,Nicky Youre & dazy,7djmGGWiUoMu9YmWEHrELO,H,0.815,0.661,0.0372,0.176,0.0,0.103,0.651,131.474,1
I Ain't Worried,OneRepublic,73PAbYaVbnFG0tQ4aBfxeN,H,0.704,0.797,0.0475,0.0826,0.000745,0.0546,0.825,139.994,1
